candeeiro	kanderu
caneca	kaneka
canela	kanela
canela	kabaku di po
caneta	kaneta
canhão	kañon
canino	dinti di udju
canivete	kaniveti
cano	tubu
canoa	kanua
cansaço	kansera
cansado	kansadu
cansar	kansa
cansativo	pisadu
cantar	kanta
cântaro	kalma
cântico	kantiku
canto	kantu
canto	kantu
cantor	kantadur
canudo	tubu
cão	katchur
caolho	ñeleli
capacete	kapasiti
capacidade	kapasidadi
capaz	kapas
capim	padja
capinar	kopoti
capturado	prindidu
capturar	prindi
cara	kara
caracol	olonko
caranguejo	karangis
careca	kabesa-seku
carga	karga
carícia	kariñu
carne	karni
carneiro	karnel
caro	karu
caroço	karus
carrapato	karpatu
carregar	karga
carregar	bambu
carregar	karga
carregar	pembi
carregar	karganta
carro	karu
carroça	sareti
carta	karta
cartomante	djambakus
cartucho	kartus
carvão	karbon
carvoaria	furnu di karbon
casa	kasa
casado	kazadu
casamento	kazamentu
casar	kaza
casca	kaska
casca	kabaku di arvuri
cascalho	kaskadju
casco	kaska di tataruga
caso	kazu
caso	na kazu ke
castanha	kastaña
castanheira carité	po di karite
castigar	kastiga
castigo	kastigu
castração	kapa
castrar	kapa
casulo	kaska di burbuleta
catar	kata
catar	kudji
catarro	katar
cativar	nteresa
cativeiro	katiberasku
cativo	katibu
catorze	katorzi
cauda	rabu
caule	tronku
causar	fasi
cavadeira	kobadur
cavaleiro	kabaleru
cavalgar	monta na kabalu
cavalheiro	kavaleru
cavalo	kabalu
cavar	koba
cavilha	po di saporta
cebola	sabola
ceder	da
cedo	sedu
cegar	sega
cego	moku
cegonha	djumi
celeiro	bemba
cem	sen
cemitério	simiteriu
cenoura	sinora
cento e um	sentu i un
cento e vinte	sentu i vinti
cento e vite e um	sentu i vinti i un
centopeia	sen pe
centro	sentru
centro-oeste	sentru oesti
cera	sera
cerâmica	ajuleju
cerca	serka di
cerca	serku
cercado	serkadu
cercar	serka
cereal	garan
cérebro	totona
cerimônia fúnebre	nteru
cerrar	fitcha mon
certeza	sertesa
certo	sertu
cerume	susudadi di oredja
cerveja	serbedja
cessar	kaba
cesta	kufu
céu	seu
chá	xa
chacal	djurtu
chacina	matansa
chaleira	salera
chama	xama
chamada	tchomada
chamar	tchama
chaminé	fumidera
chamuscado	ulilidu
chamuscar	uli
chão	tchon
chapéu	tchepen
chato	lisu
chato	xatu
chave de fenda	tchabi di fenda
chefe	regulu
chefia	xefia
chefiar	xefia
chegada	tchigada
chegar	tchiga
cheia	lagansa
cheio	intchidu
cheirar	tchera
cheiro	tcheru
chicote	tchikoti
chicotear	suta
chifre	tchifri
chifrudo	manga di tchifri
chifrudo	tama kanela
chimpanzé	dari
chinelo	sinelu
chocalhar	balansa
chocalho	rek-rek
choque	xoki
chorar	tchora
choro	tchur
chorume	yagu pretu di lixu
chover	tchuba tchubi
chumbo	tchumbu
chupar	tchupa
churrasqueira	kau di yasa karni
chuva	tchuba
cidade	prasa
cigarro	sigaru
cilada	mboskada
cílio	kabelu di udju
cimento	simentu
cinco	sinku
cinquenta	sinkuenta
cinta	sintu di bariga
cintilar	lampra
cinto	sintu
cintura	sintura
cinza	sinsa
cinza	sinzentu
